self,pid,command,shared_obj,symbol
0.026362597907659765,82826,python,python,_PyEval_EvalFrameDefault
0.026305805307088963,82832,python,python,_PyEval_EvalFrameDefault
0.026299356305855972,82850,python,python,_PyEval_EvalFrameDefault
0.02621226447752529,82841,python,python,_PyEval_EvalFrameDefault
0.026092478425589153,82812,python,python,_PyEval_EvalFrameDefault
0.026049361771246338,82788,python,python,_PyEval_EvalFrameDefault
0.02592417990235722,82838,python,python,_PyEval_EvalFrameDefault
0.02590708279460543,82847,python,python,_PyEval_EvalFrameDefault
0.02588682562345803,82797,python,python,_PyEval_EvalFrameDefault
0.02584747531727271,82794,python,python,_PyEval_EvalFrameDefault
0.025846166569287097,82829,python,python,_PyEval_EvalFrameDefault
0.02583692262338238,82800,python,python,_PyEval_EvalFrameDefault
0.025823613205011704,82820,python,python,_PyEval_EvalFrameDefault
0.025776326955496122,82806,python,python,_PyEval_EvalFrameDefault
0.02575559994046243,82815,python,python,_PyEval_EvalFrameDefault
0.025733947717012658,82823,python,python,_PyEval_EvalFrameDefault
0.025730828988197525,82809,python,python,_PyEval_EvalFrameDefault
0.02548520720904061,82803,python,python,_PyEval_EvalFrameDefault
0.02528377919314142,82791,python,python,_PyEval_EvalFrameDefault
0.025116764318982347,82844,python,python,_PyEval_EvalFrameDefault
0.0250755702127653,82835,python,python,_PyEval_EvalFrameDefault
0.0033933859212654685,82815,python,python,_PyEval_FrameClearAndPop
0.003381512991888768,82803,python,python,_PyEval_FrameClearAndPop
0.003328112328639861,82835,python,python,_PyEval_FrameClearAndPop
0.0033203768090115985,82844,python,python,_PyEval_FrameClearAndPop
0.003178342858208945,82847,python,python,_PyEval_FrameClearAndPop
0.0031551313367238327,82812,python,python,_PyEval_FrameClearAndPop
0.003155098732643922,82806,python,python,_PyEval_FrameClearAndPop
0.003131452473074815,82829,python,python,_PyEval_FrameClearAndPop
0.003127288892246887,82788,python,python,_PyEval_FrameClearAndPop
0.003079724706479789,82797,python,python,_PyEval_FrameClearAndPop
0.0030440181538439466,82791,python,python,_PyEval_FrameClearAndPop
0.0030170838958597456,82794,python,python,_PyEval_FrameClearAndPop
0.003014859966769817,82826,python,python,_PyEval_FrameClearAndPop
0.002992662143195463,82809,python,python,_PyEval_FrameClearAndPop
0.0029500533589192027,82850,python,python,_PyEval_FrameClearAndPop
0.00291984545934307,82838,python,python,_PyEval_FrameClearAndPop
0.0029098187908760367,82820,python,python,_PyEval_FrameClearAndPop
0.00287382288596571,82841,python,python,_PyEval_FrameClearAndPop
0.0028724046238062634,82823,python,python,_PyEval_FrameClearAndPop
0.0028199121776834365,82800,python,python,_PyEval_FrameClearAndPop
0.0027047065752136114,82832,python,python,_PyEval_FrameClearAndPop
0.002474450589384115,82778,python,python,_PyEval_EvalFrameDefault
0.0023627075034408,82774,python,python,_PyEval_EvalFrameDefault
0.0018093761785319953,82835,python,python,_PyFloat_FromDouble_ConsumeInputs
0.0017032167633650624,82826,python,python,_PyFloat_FromDouble_ConsumeInputs
0.0016600014492602357,82835,python,python,PyType_GenericAlloc
0.0016524903698688777,82820,python,python,_PyFloat_FromDouble_ConsumeInputs
0.001652412428452668,82812,python,python,_PyFloat_FromDouble_ConsumeInputs
0.001647163865942652,82803,python,python,_PyFloat_FromDouble_ConsumeInputs
0.0016333817854188371,82838,python,python,_PyFloat_FromDouble_ConsumeInputs
0.001632006409928863,82832,python,python,_PyFloat_FromDouble_ConsumeInputs
0.0015967531285448948,82797,python,python,_PyFloat_FromDouble_ConsumeInputs
0.0015958478726412304,82794,python,python,_PyFloat_FromDouble_ConsumeInputs
0.0015863790780551365,82815,python,python,_PyFloat_FromDouble_ConsumeInputs
0.001577064328301342,82841,python,python,_PyFloat_FromDouble_ConsumeInputs
0.0015748177918099343,82823,python,python,_PyFloat_FromDouble_ConsumeInputs
0.0015490067969658814,82800,python,python,_PyFloat_FromDouble_ConsumeInputs
0.0015341176889696472,82806,python,python,_PyFloat_FromDouble_ConsumeInputs
0.001530116332074554,82844,python,python,_PyFloat_FromDouble_ConsumeInputs
0.00152502142637459,82783,python,python,_PyEval_EvalFrameDefault
0.0015117437237171037,82850,python,python,_PyFloat_FromDouble_ConsumeInputs
0.0014872690672826931,82782,python,python,_PyEval_EvalFrameDefault
0.0014798615081425518,82791,python,python,_PyFloat_FromDouble_ConsumeInputs
0.0014739448938555,82847,python,python,_PyFloat_FromDouble_ConsumeInputs
0.0014729600831799648,82791,python,python,PyType_GenericAlloc
0.0014670846298844948,82788,python,python,_PyFloat_FromDouble_ConsumeInputs
0.0014457460203107931,82841,python,python,subtype_dealloc
0.001444333251729484,82832,python,python,subtype_dealloc
0.001421197935771579,82829,python,python,subtype_dealloc
0.0014176159492372536,82809,python,python,_PyFloat_FromDouble_ConsumeInputs
0.001408213373711047,82800,python,python,subtype_dealloc
0.001392666986660704,82794,python,python,subtype_dealloc
0.0013900909988588553,82788,python,python,PyType_GenericAlloc
0.0013863716626599891,82832,python,python,PyType_GenericAlloc
0.0013669331673994776,82829,python,python,_PyFloat_FromDouble_ConsumeInputs
0.001337652977961811,82850,python,python,subtype_dealloc
0.0013376527431062401,82844,python,python,subtype_dealloc
0.0013327645409420205,82791,python,python,subtype_dealloc
0.001323838497580321,82815,python,python,subtype_dealloc
0.001305108193977249,82844,python,python,PyType_GenericAlloc
0.0013010724562687954,82809,python,python,PyType_GenericAlloc
0.0013002194608352166,82812,python,python,subtype_dealloc
0.0012966588563689564,82820,python,python,subtype_dealloc
0.0012954263547549957,82823,python,python,subtype_dealloc
