self,children,object,symbol
0.14,0.64,libpython3.11.so.1.0,_PyEval_EvalFrameDefault
0.14,0.59,python,free_keys_object
0.14,0.28,ld-2.31.so,_dl_rtld_di_serinfo
0.14,0.15,python,intern_string_constants
0.14,0.14,libpthread-2.31.so,pthread_getspecific
0.14,0.14,python,clear_weakref
0.14,0.14,python,unicode_dealloc
0.13,10.13,python,method_vectorcall
0.13,0.15,python,ascii_decode
0.13,0.14,python,PyObject_IS_GC
0.13,0.13,python,pthread_cond_signal@plt
0.13,0.13,python,PyErr_Occurred
0.13,0.13,libsqlite3.so.0.8.6,0x000000000000e5c4
0.13,0.13,python,PyObject_Free
0.12,13.66,python,PyObject_Vectorcall
0.12,5.85,_sqlite3.cpython-313-x86_64-linux-gnu.so,step_callback
0.12,3.04,_sqlite3.cpython-313-x86_64-linux-gnu.so,func_callback
0.12,1.18,libsqlite3.so.0.8.6,sqlite3_column_type
0.12,0.33,python,PyDict_GetItemRef
0.12,0.31,python,code_dealloc
0.12,0.28,python,PyLong_FromLong
0.12,0.2,python,_PyObject_Calloc
0.12,0.12,libsqlite3.so.0.8.6,sqlite3_mutex_leave
0.11,8.45,python,type_call
0.11,1.83,python,PyObject_GetAttr
0.11,0.38,python,list_iter
0.11,0.31,python,PyUnicode_New
0.11,0.29,python,PyObject_ClearWeakRefs
0.11,0.17,python,_PyObject_GetInstanceAttribute
0.11,0.12,python,_PyIO_find_line_ending
0.11,0.11,python,_PyUnicode_FromUCS4.part.0
0.11,0.11,libsqlite3.so.0.8.6,sqlite3_mutex_enter
0.11,0.11,libsqlite3.so.0.8.6,0x000000000000e4f4
0.1,14.34,_sqlite3.cpython-313-x86_64-linux-gnu.so,pysqlite_cursor_iternext
0.1,0.18,_sqlite3.cpython-313-x86_64-linux-gnu.so,check_cursor
0.1,0.14,[kernel.kallsyms],copy_user_enhanced_fast_string
0.1,0.1,libsqlite3.so.0.8.6,sqlite3_db_status
0.1,0.1,[kernel.kallsyms],sync_regs
0.09,1.59,python,PyObject_Str
0.09,0.94,python,_PyUnicode_InternInPlace
0.09,0.65,python,_PyList_FromArraySteal
0.09,0.54,libsqlite3.so.0.8.6,sqlite3_bind_int64
0.09,0.53,python,object_new
0.09,0.42,python,_PyEval_Vector
0.09,0.24,python,PyFloat_AsDouble
0.09,0.22,python,method_dealloc
0.09,0.18,python,sre_ucs1_match
0.09,0.12,python,_PyThreadState_PushFrame
0.09,0.1,[kernel.kallsyms],smp_call_function_single
0.09,0.09,python,_Py_GetBaseOpcode
0.09,0.09,python,PyMem_Calloc
0.09,0.09,python,_PyTrash_cond
0.09,0.09,python,_Py_CheckFunctionResult
0.08,1.47,libsqlite3.so.0.8.6,sqlite3_free_table
0.08,0.7,python,_PyCode_New
0.08,0.4,python,func_dealloc
0.08,0.39,python,_PyObject_GenericGetAttrWithDict
0.08,0.34,python,PyMethod_New
0.08,0.29,_sqlite3.cpython-313-x86_64-linux-gnu.so,cursor_clear
0.08,0.28,libsqlite3.so.0.8.6,sqlite3_file_control
0.08,0.25,python,_PyLong_New
0.08,0.25,python,tupletraverse
0.08,0.22,python,PyIter_Next
0.08,0.17,[kernel.kallsyms],zap_pte_range.isra.0
0.08,0.14,_sqlite3.cpython-313-x86_64-linux-gnu.so,pysqlite_check_thread
0.08,0.12,python,PyErr_CheckSignals
0.08,0.11,python,vgetargs1_impl
0.08,0.08,python,_PyUnicode_JoinArray.part.0
